,date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO,company,review_title_None,cons_use strengths lacked appropriate tools training specialized projects advice management mandating disability leave force employee workplace illegal use strengths lacked appropriate tools training specialized projects advice management mandating disability leave force employee workplace illegal,pros_None,advice_to_mgmt_mandating disability leave force employee workplace illegal mandating disability leave force employee workplace illegal
1025,Sun Jul 07 2019, Engineer,"Chelmsford, England",Current Employee ,,3,,benefits cosy clique leaders course well financially maternity leave offered scandal company talks caring,,1.0,3.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Teledyne Technologies,0.0,0.5859,0.0,0.0
1026,Thu Aug 28 2014,,, ,,2,,lack benefits women particular enhanced maternity pay also health care levels company,attract retain women offering enhanced maternity pay,4.0,3.0,4.0,4.0,2.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO,Teledyne Technologies,0.0,0.4767,0.0,0.2732
1027,Thu May 23 2013,Anonymous,,Current Employee ,,0,1 trainings 2 leadership development 3 care 4 respect diversity,,,4.0,5.0,4.0,4.0,3.0,3.0,Recommends,,No opinion of CEO,Teledyne Technologies,0.0,0.0,0.743,0.0
1028,Wed Jan 27 2021, Recruiting Manager,"Chicago, IL",Former Employee ,,0,,forcing candidates take jobs hit numbers lack diversity upper management coworkers literally continued work also,,2.0,3.0,2.0,1.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Robert Half International,0.0,-0.3182,0.0,0.0
1029,Fri Jan 22 2021, Receptionist,"Los Angeles, CA",Former Employee ,,0,,sexist experience i've ever faced workplace brought,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Robert Half International,0.0,0.0,0.0,0.0
1030,Tue Dec 22 2020, Account Supervisor,"Chicago, IL",Current Employee ,,0,,free failure pay overtime seen people get treated badly based race creed sexual orientation seen management play loose rules,,1.0,1.0,1.0,3.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,TrueBlue,0.0,-0.5267,0.0,0.0
1031,Wed Oct 14 2020, Senior Manager,"Tacoma, WA",Current Employee ,,0,,executive teams not connected issues faced regular employees lack diversity leadership upward mobility advice management walk talk,,3.0,3.0,3.0,1.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,TrueBlue,0.0,-0.3182,0.0,0.0
1032,Tue Nov 15 2016,Anonymous,,Current Employee ,,1,,men little opportunity career development diversity programs little enforce change comapny says offer,,1.0,1.0,1.0,1.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,TrueBlue,0.0,0.3626,0.0,0.0
1033,Tue Jul 29 2014, Director,,Former Employee ,,6,path lived values provided diverse work environment minorities strong opportunity career growth joe sambataro ceo,improvement centerline improved clp improved planetechs excellent advice management creating diversity inclusion committee not effect provide necessary input improved clp improved planetechs excellent advice management creating diversity inclusion committee not effect provide necessary input improve,creating diversity inclusion committee not effect provide necessary input creating diversity inclusion committee not effect provide necessary input improve,2.0,2.0,1.0,2.0,4.0,1.0,Recommends,Positive Outlook,Disapproves of CEO,TrueBlue,0.0,0.9819,0.886,0.743
1034,Tue Dec 29 2020, Supervision,"Saint Petersburg, FL",Former Employee ,,0,,long term employees decided protect arbitrary claim quarterly losses black monday laid 500 employees small,,1.0,5.0,1.0,5.0,5.0,4.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO,Raymond James Financial,0.0,-0.0258,0.0,0.0
1035,Mon Mar 16 2020, Data Analyst,"Saint Pete, FL",Current Employee ,look elsewhere diversity,4,,diversity catchy phrase not really practiced,actually diversity practice not paper,2.0,3.0,2.0,3.0,2.0,1.0,Doesn't Recommend,Positive Outlook,Approves of CEO,Raymond James Financial,0.0,0.0,0.0,0.0
1036,Wed Nov 20 2019, Wealth Planning Consultant,"Palm Harbor, FL",Current Employee ,rampant favortism tinge discrimination rampant favortism tinge discrimination,2,,,,1.0,1.0,4.0,1.0,1.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Raymond James Financial,0.0,0.0,0.0,0.0
1037,Tue May 14 2019, Vice President Senior Business Leader,"New York, NY",Current Employee ,,2,,diversity leads lack focus public markets find company difficult,,4.0,4.0,4.0,4.0,3.0,2.0,Recommends,Negative Outlook,Approves of CEO,Colony Capital,0.0,-0.5859,0.0,0.0
1038,Thu Oct 01 2020, Salaried Employee,"Grand Rapids, MI",Former Employee ,,0,,50 target back thoroughly documented cases repeated age discrimination kept quiet advice management like they'll read 50 target back thoroughly documented cases repeated age discrimination kept quiet advice management like they'll read,,4.0,4.0,4.0,4.0,4.0,4.0,,,,Steelcase,0.0,0.6124,0.0,0.0
1039,Sat Aug 22 2020,Anonymous,"Grand Rapids, MI",Former Employee ,,0,,hours weekend family crazy op manager advice management inclusion,inclusion,5.0,2.0,5.0,2.0,3.0,3.0,Approves of CEO,,,Steelcase,0.0,-0.34,0.0,0.0
1040,Fri Jan 10 2020, Strategic Marketing InTERN,"Grand Rapids, MI",Current Employee ,,2,,lack established pipeline time opportunities times disorganized lack diversity inclusion initiatives intraorganizationally internship programming established pipeline time opportunities times disorganized lack diversity inclusion initiatives intraorganizationally internship programming times team,,4.0,5.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO,Steelcase,0.0,-0.6249,0.0,0.0
1041,Wed Mar 20 2019,Anonymous,,Current Employee ,,0,,not nimble slow innovate clunky marketing not going get rich not going get ahead unless willing live michigan advice management business accelerated processes need well diversity senior vp level would good,business accelerated processes need well diversity senior vp level would good,3.0,4.0,4.0,2.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO,Steelcase,0.0,-0.1411,0.0,0.6124
1042,Tue Jun 02 2020, Data Management Leader,"Saint Louis, MO",Former Employee ,,1,,paid maternity leave perpetual work home not option,i'd vocal several years work home option paid maternity leave role instead three increase pay leaving,3.0,3.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,W.R. Berkley,0.0,-0.0516,0.0,0.1779
1043,Sat Dec 07 2019, Technology,"Brandywine, DE",Former Employee ,,8,,companies area bonus leadership completely corrupt sexist especially won't legal details multiple documented incidents,,1.0,5.0,2.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,W.R. Berkley,0.0,0.4313,0.0,0.0
1044,Mon Jul 13 2015,,"Des Moines, IA","Internal Audit in Des Moines, IA",,0,accountability work work environment great travel diversity companies great lots exposure,diversity make things complex challenge times,,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO,W.R. Berkley,0.0,0.0772,0.8481,0.0
1045,Mon Jul 27 2020, Vice President,,Current Employee ,,0,,requires stability less retrenchments advice management induct regional diversity,induct regional diversity,4.0,2.0,2.0,5.0,3.0,2.0,Doesn't Recommend,Positive Outlook,Approves of CEO,SPX FLOW,0.0,0.0,0.0,0.0
1046,Sat Jul 20 2019, Software Developer,"McKinney, TX",Current Employee ,,6,last long enough company gets black friday christmas eve,,,2.0,1.0,2.0,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Globe Life,0.0,0.0,0.0,0.0
1047,Thu May 17 2018,Anonymous,"Oklahoma City, OK",Current Employee ,,7,,multiple things witnessed multiple instances harassment hostile sexual harassment mckinney okc vp's comments,,2.0,5.0,1.0,1.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Globe Life,0.0,-0.8625,0.0,0.0
1048,Mon Apr 09 2018, Supervising Agent,"Houston, TX",Current Employee ,,2,,business work hard there’s reason won’t successful it’s privilege working agency advice management keep leading,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,Globe Life,0.0,0.7096,0.0,0.0
1049,Wed Mar 19 2014, Senior Programmer,"McKinney, TX",Current Employee ,,7,age discrimination lot good people age discrimination lot good people,,,2.0,2.0,3.0,3.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Globe Life,0.0,0.0,0.7003,0.0
1050,Thu Oct 08 2020, Graphic Designer,"Elgin, IL",Former Employee ,,2,,treat monkeys supervisors sexual harassment complaints still literally let know,,1.0,1.0,1.0,3.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,R.R. Donnelley & Sons,0.0,-0.5423,0.0,0.0
1051,Wed May 13 2020, Legal Word Processor,"New York, NY",Current Employee ,,2,,everything else benefits laughable vacation policy especially management virtually non existent harassment tolerated warm body fill role even,,1.0,2.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,R.R. Donnelley & Sons,0.0,0.0516,0.0,0.0
1052,Mon Jan 28 2019, Authorization Agent,"San Ramon, CA",Current Employee ,,3,,raises job advancement opportunity management bunch micromanagers african american dominated workplace breaks timed second well,,1.0,3.0,3.0,1.0,1.0,3.0,Recommends,Neutral Outlook,Disapproves of CEO,Old Republic International,0.0,0.5994,0.0,0.0
1053,Wed Jul 18 2018, Authorization Agent,"San Ramon, CA",Current Employee ,,0,,priority quality advice management send employees annual diversity training,send employees annual diversity training,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Old Republic International,0.0,0.0,0.0,0.0
1054,Tue Nov 29 2016,Anonymous,"Plano, TX",Former Employee ,,0,don't witnessed discrimination plus top two ladies extremely horrible bosses don't witnessed discrimination plus top two ladies extremely horrible bosses,,,1.0,,,,,,Doesn't Recommend,Negative Outlook,,Old Republic International,0.0,0.0,-0.7172,0.0
1055,Thu Apr 16 2015, Administrative Assistant,"Memphis, TN",Former Employee ,,0,,poor communication poor management poor training advice management better communication equality work place better training poor communication poor management poor training advice management better communication equality work place better training,better communication equality work place better training better communication equality work place better training,3.0,1.0,3.0,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,,Old Republic International,0.0,-0.7906,0.0,0.891
1056,Thu Jan 28 2021, Assistant,"Saint Louis, MO",Current Employee ,,1,great diversity inclusion good behavioral health benefits stock options great diversity inclusion good behavioral health benefits stock options,,,3.0,3.0,2.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO,Centene,0.0,0.0,0.9595,0.0
1057,Wed Jan 13 2021, RN Case Manager,"Burr Ridge, IL",Former Employee ,,2,,not time outreach company pays lip service diversity community responsibility essentially making money vulnerable,,2.0,1.0,2.0,3.0,2.0,3.0,Doesn't Recommend,Positive Outlook,,Centene,0.0,-0.4047,0.0,0.0
1058,Wed Jan 27 2021, Senior Business Systems Analyst,"Saint Louis, MO",Former Employee ,,0,,unethical internal politics racial n gender bias inequalities lack governance structure individual role n accountabilities,,1.0,3.0,1.0,2.0,3.0,3.0,Doesn't Recommend,Negative Outlook,Approves of CEO,Centene,0.0,-0.7184,0.0,0.0
1059,Tue Dec 08 2020, Risk Analyst,"Chicago, IL",Current Employee ,,1,,diversity executive leadership racism commercial segment collaboration diversity executive leadership racism commercial segment collaboration difficult internal partners,fridays allow wfh couple days week show diversity executive leadership extracurricular diversity groups far diverse,4.0,2.0,2.0,1.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO,Centene,0.0,-0.8934,0.0,0.2263
1060,Mon Feb 01 2021, Human Resources Director,,Former Employee ,,3,,needs employees employees viewed commodities immature dei model semblance work life balance integration high expectations,,2.0,2.0,1.0,1.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,L3Harris Technologies,0.0,0.0,0.0,0.0
1061,Tue Jul 17 2018, Internal Wholesaler,"Omaha, NE",Current Employee ,,0,,less internals whole advice management not cap race horses want run won't work hard can't,not cap race horses want run won't work hard can't,4.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,Pacific Life,0.0,0.1521,0.0,0.1521
1062,Fri Jul 31 2020, Marketing Analyst,"Houston, TX",Current Employee ,,1,,not progressive comes diversity inclusion little upward mobility advice management care people,care people intentional adding diversity leadership teams,3.0,5.0,3.0,3.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO,Phillips 66,0.0,0.4939,0.0,0.4939
1063,Tue Jul 21 2020, Business Analyst,,Former Employee ,,11,,lack development opportunities past early career phase lack diversity especially leadership google executive team board directors,,1.0,4.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Phillips 66,0.0,-0.25,0.0,0.0
1064,Sun Jan 24 2021, Project Manager,"Portland, ME",Current Employee ,,0,,cons idexx great company advice management work needed diversity inclusion going right direction,work needed diversity inclusion going right direction,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,IDEXX Laboratories,0.0,0.6249,0.0,0.0
1065,Thu Oct 15 2020, Human Resources,,Former Employee ,,0,,interpreted differently eventually job eliminated minority field employee position optics not look good,,3.0,,,,,,,,,IDEXX Laboratories,0.0,-0.3412,0.0,0.0
1066,Sun Mar 31 2019, Inside Sales Representative,"Westbrook, ME",Current Employee ,black hole career development,6,,,,2.0,4.0,4.0,1.0,2.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO,IDEXX Laboratories,0.0,0.0,0.0,0.0
1067,Sat Aug 18 2018, Scientist,"Westbrook, ME",Current Employee ,,0,,goos place work advice management add diversity company,add diversity company,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO,IDEXX Laboratories,0.0,0.0,0.0,0.0
1068,Fri Feb 16 2018,Anonymous,,Former Employee ,,4,,supervisor personally great supervisor horrible manager racism staff members management gets treated certain groups,,3.0,3.0,5.0,3.0,5.0,1.0,Recommends,Positive Outlook,Approves of CEO,IDEXX Laboratories,0.0,-0.34,0.0,0.0
1069,Sun Oct 22 2017,Anonymous,,Current Employee ,,3,,raped fellow emily attacker minority gay would nothing say scared beaten raped fellow emily attacker minority gay would nothing say scared,,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,IDEXX Laboratories,0.0,-0.9092,0.0,0.0
1070,Sun Sep 24 2017,,, ,not mother friendly,4,,,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,IDEXX Laboratories,-0.3875,0.0,0.0,0.0
1071,Fri Jun 30 2017,,, ,,2,,endless work hours training hierarchical minorities disadvantage doesn't promote advice management managers,,2.0,1.0,4.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,,IDEXX Laboratories,0.0,-0.6103,0.0,0.0
1072,Sat Mar 11 2017, Marketing Manager,"Westbrook, ME",Former Employee ,,13,,10 1 woman rich environment hr confusing structure start orientation meeting first last time work hr,,3.0,5.0,2.0,3.0,4.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,IDEXX Laboratories,0.0,0.4019,0.0,0.0
1073,Tue Apr 11 2017, Laboratory Technician,"Irvine, CA",Former Employee ,,6,,cross train advance another department lot ot management micro manages gender discrimination unorganized advice management advice management would take cross train advance another department lot ot management micro manages gender discrimination unorganized advice management advice management would take grow cross train advance another department lot ot management micro manages gender discrimination unorganized advice management advice management would,,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,IDEXX Laboratories,0.0,0.0,0.0,0.0
1074,Mon Mar 06 2017, Employee,,Current Employee ,,2,,new employee orientation horrible i've couple months,good orientation new hires especially people don't work experience,2.0,4.0,1.0,2.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,IDEXX Laboratories,0.0,-0.5423,0.0,0.4404
1075,Sat Dec 24 2016,,"Westbrook, ME","Inside Sales in Westbrook, ME",,8,,want young good soldiers told ideas diversity welcome advice management recognize loyalty hard work disorganized short handed politics favoritism gender biases rampant want young good soldiers,,2.0,2.0,2.0,2.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,IDEXX Laboratories,0.0,0.9001,0.0,0.0
1076,Thu Jul 14 2016,,"Memphis, TN","Distribution Specialist II in Memphis, TN",,2,,seasoned employees opportunity grow company advancement supervisors need diversity training workforce 99 afro american majority managers caucasian,seasoned employees opportunity grow company advancement supervisors need diversity training workforce 99 afro american majority managers caucasian,2.0,3.0,1.0,1.0,4.0,1.0,Doesn't Recommend,Positive Outlook,Approves of CEO,IDEXX Laboratories,0.0,0.4215,0.0,0.4215
1077,Sun Jul 24 2016, Laboratory Technologist,"Glen Burnie, MD",Former Employee ,,6,,lab advice management hire keep qualified staff stop targeting african americans fire white staff doesnt approve clean management need diversity training literally cleaned entire lab time,hire keep qualified staff stop targeting african americans fire white staff doesnt approve clean,1.0,3.0,4.0,3.0,5.0,1.0,Doesn't Recommend,Positive Outlook,Approves of CEO,IDEXX Laboratories,0.0,-0.7057,0.0,-0.7057
1078,Tue May 17 2016, Inside Sales,,Current Employee ,,6,,completely different companies hard work not appreciated acknowledged diversity outside box thinking not appreciated essentially,,1.0,3.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,IDEXX Laboratories,0.0,-0.7242,0.0,0.0
1079,Fri Aug 07 2015, Supervisor,"Baltimore, MD",Former Employee ,,8,,encourages negative behavior asking reports tattle tells minorities treated unfairly management company resistant change,,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,,,IDEXX Laboratories,0.0,-0.2023,0.0,0.0
1080,Wed Feb 03 2021,Anonymous,"Bolingbrook, IL",Former Employee ,,0,,not always compatible slow prevent progress advice management ally leaders departments possible strong network,ally leaders departments possible strong network,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO,Ulta Beauty,0.0,0.7351,0.0,0.5106
1081,Tue Jan 19 2021, Prestige Beauty Advisor,"Shreveport, LA",Former Employee ,,0,,against guidelines like part time employees can’t request black actually,against guidelines like part time employees can’t request black actually,3.0,1.0,2.0,2.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,Ulta Beauty,0.0,0.3612,0.0,0.3612
1082,Wed Jan 06 2021, Claims Team Manager,"Dallas, TX",Current Employee ,,0,embraces diversity empowers employees truly cares leads well rigors 2020,,,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,Liberty Mutual Insurance Group,0.0,0.0,0.7906,0.0
1083,Sun Jan 17 2021, Attorney,,Current Employee ,thing going place diversity inclusion thing going place diversity inclusion,0,diversity inclusion new attorney place would,,,2.0,1.0,5.0,5.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Liberty Mutual Insurance Group,0.0,0.0,0.0,0.0
1084,Wed Jan 13 2021, Customer Service Representative,"Plano, TX",Current Employee ,,1,work environment respected good hr support parental leave mothers fathers work virtually never leave home,,,3.0,5.0,4.0,5.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO,Liberty Mutual Insurance Group,0.0,0.0,0.8247,0.0
1085,Wed Jan 13 2021, Administrative Assistant,,Current Employee ,,0,,racist team managers old admins advice management hire black people admin roles liberty mutual insurance response january 15 2021 levels 2025 equal opportunity employer take allegations discrimination harassment seriously please not hesitate report concerns levels 2025 equal opportunity employer take allegations discrimination harassment seriously please not hesitate report concerns 2025 equal opportunity employer take allegations discrimination harassment seriously please not hesitate report concerns employee racist team managers old admins advice management hire black people,hire black people admin roles liberty mutual insurance response january 15 2021 levels 2025 equal opportunity employer take allegations discrimination harassment seriously please not hesitate report concerns levels 2025 equal opportunity employer take allegations discrimination harassment seriously please not hesitate report concerns 2025 equal opportunity employer take allegations discrimination harassment seriously please not hesitate report concerns employee,3.0,5.0,3.0,1.0,5.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Liberty Mutual Insurance Group,0.0,-0.3523,0.0,0.7609
1086,Tue Dec 08 2020, Senior Business Analyst,"Boston, MA",Current Employee ,,0,work life balance pay benefits paternity leave covid leave,,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,Liberty Mutual Insurance Group,0.0,0.0,0.2023,0.0
1087,Wed Aug 16 2017, Floor Worker,"Atlanta, GA",Current Employee ,,4,,areas floor say team allow diversity unity productivity results advice management,,3.0,3.0,2.0,2.0,3.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Triumph Group,0.0,0.2263,0.0,0.0
1088,Fri Sep 23 2016,,, ,,3,non pros amateurs racists,never racist amateurs like company advice management stop broking,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Triumph Group,0.0,-0.0232,-0.5423,0.0
1089,Mon Aug 08 2016,,"Arlington, TX","Student Intern in Arlington, TX",,0,,low wages compared companies level lack organized orientation training interns advice management cant run company,,4.0,3.0,3.0,3.0,3.0,3.0,,,,Triumph Group,0.0,-0.5267,0.0,0.0
1090,Fri Aug 26 2016,,, ,,2,,bigoted towards asians order control terminate people avoid paying medical claims,,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Triumph Group,0.0,-0.296,0.0,0.0
1091,Thu Dec 19 2013, Purchasing,"Dallas, TX",Former Employee ,,0,,formal education high school minority group including woman chance promotion nill employees,,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Triumph Group,0.0,0.25,0.0,0.0
1092,Thu Oct 31 2013,Anonymous,"Dallas, TX",Former Employee ,,0,,don't like leave belief guy leading first day orientation must said 20 times 4 hour time span,,1.0,4.0,2.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Triumph Group,0.0,-0.2411,0.0,0.0
1093,Wed Oct 02 2013, Engineer,"Hawthorne, CA",Current Employee ,,1,,747 8 basket small fraction 767 attempting diversify manufacturers far paper triumph,,2.0,4.0,4.0,2.0,4.0,2.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Triumph Group,0.0,0.4767,0.0,0.0
1094,Thu Jan 26 2012,,"Oakdale, PA","Former Employee in Oakdale, PA",,4,,money litigation start not discriminating against employees regardless race religion sex creed 4,money litigation start not discriminating against employees regardless race religion sex creed,1.0,4.5,1.0,3.0,2.0,,Doesn't Recommend,,Disapproves of CEO,Triumph Group,0.0,-0.2023,0.0,-0.2023
1095,Fri Dec 18 2020, Administrative,"Decatur, IL",Former Employee ,,0,,old school white guys top advice management diversity communicate company not leadership you’re,diversity communicate company not leadership you’re,2.0,1.0,3.0,2.0,,,Doesn't Recommend,,No opinion of CEO,MYR Group,0.0,0.2023,0.0,0.0
1096,Tue Jan 19 2021, Corporate Employee,,Former Employee ,,0,,insidiousness invaded makes impossible stay hostility harassment commonplace not ignored enabled hear hr,,1.0,1.0,1.0,1.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,Varian Medical Systems,0.0,-0.7217,0.0,0.0
1097,Fri Dec 20 2019, Anonymous,"Palo Alto, CA",Current Employee ,,5,,even get salaries cut diversity slogan age gender discrimination prevail trying raise issue result serious retaliation advice even get salaries cut diversity slogan age gender discrimination prevail trying raise issue result serious retaliation advice even get salaries cut diversity slogan age gender discrimination prevail trying raise issue result serious retaliation advice,,1.0,2.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Varian Medical Systems,0.0,-0.7351,0.0,0.0
1098,Mon Jul 01 2019, Role In Human Resources,,Former Employee ,,11,,work life balance not modeled encouraged personal development not modeled diversity inclusion lacking hr team lack appreciation work advice work life balance not modeled encouraged personal development not modeled diversity inclusion lacking hr team lack appreciation work advice management,,2.0,2.0,3.0,1.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO,Varian Medical Systems,0.0,-0.0567,0.0,0.0
1099,Mon Aug 01 2016, Senior Manager,"Palo Alto, CA",Current Employee ,,0,,company doesn't negatives would like echo privilege work varian advice management keep,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Disapproves of CEO,Varian Medical Systems,0.0,0.1002,0.0,0.0
1100,Sat Feb 06 2016,,"Chicago, IL"," in Chicago, IL",,4,,next week trouble trying right thing discrimination allowed unsafe work practices not addressed reported harassment next week trouble trying right thing discrimination allowed unsafe work practices not addressed reported harassment thing discrimination allowed unsafe work practices not addressed reported harassment slander even continues leave,,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Varian Medical Systems,0.0,0.4497,0.0,0.0
1101,Tue Jul 14 2015,,"San Jose, CA","COMMODITY SPECIALIST/SENIOR BUYER PLANNER in San Jose, CA",,2,,problems training opportunities old school advice management need provide harassment training employees 2,need provide harassment training employees,3.0,3.0,1.0,2.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,Varian Medical Systems,0.0,-0.5574,0.0,-0.5423
1102,Wed Jul 30 2014, Physics Instructor (Clinical Applications),"Las Vegas, NV",Former Employee ,laissez faire managers participate turn blind eye harassment workplace bullying clinical education,12,,,,1.0,1.0,1.0,2.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Varian Medical Systems,-0.8779,0.0,0.0,0.0
1103,Fri Jul 12 2013, Engineer,"Salt Lake City, UT",Current Employee ,,0,,minority feel disadvantage varian member minority group diversity among production workers not among management people made sad disadvantage varian member minority group diversity among production workers not among management people made sad advice management,,3.0,5.0,5.0,1.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO,Varian Medical Systems,0.0,-0.8957,0.0,0.0
1104,Thu May 14 2020, Software Executive,Pune,Current Employee ,varian cares employees like mother,1,,,,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,Varian Medical Systems,0.6705,0.0,0.0,0.0
1105,Fri May 30 2014, Software Engineer,,Current Employee ,,0,,absolutely zero career progression paths advice management training coaching job skill diversity believe needed keep people fresh,training coaching job skill diversity believe needed keep people fresh,4.0,5.0,5.0,1.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO,Varian Medical Systems,0.0,0.3182,0.0,0.3182
1106,Wed Jun 17 2020,,, ,discrimination nepotism discrimination nepotism,5,,,,1.0,,,,,,Doesn't Recommend,Negative Outlook,No opinion of CEO,Revlon,0.0,0.0,0.0,0.0
1107,Wed Jun 26 2019,Anonymous,"New York, NY",Current Employee ,,5,,consistent racism lack diversity across board not seek empower women despite facade consistent racism lack diversity across board not seek empower,senior management given diversity training monitored sensitivity given multiple complaints,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,Revlon,0.0,-0.6604,0.0,-0.4019
1108,Tue Aug 01 2017,,, ,,3,,diversity chiefs not enough indians advice management treat,,1.0,3.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Revlon,0.0,0.4019,0.0,0.0
1109,Sat Mar 25 2017,,"New York, NY","Director in New York, NY",,23,,incompetent merry men left mess way lawsuits sexual harassment cases play people disappeared day next,,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Revlon,0.0,-0.6908,0.0,0.0
1110,Mon Dec 19 2016, Marketing,"New York, NY",Former Employee ,,14,,never tried company culture negative sexual harassment discrimination tolerated racial bias rampant white men leadership never tried company culture negative sexual harassment discrimination tolerated racial bias rampant white men leadership men never tried company culture negative sexual harassment discrimination tolerated racial bias rampant white men,,2.0,2.0,1.0,1.0,3.0,1.0,Doesn't Recommend,,No opinion of CEO,Revlon,0.0,-0.9744,0.0,0.0
1111,Thu Feb 23 2017,,, ,,2,,team tended fulfill stereotype rude not inclusive difficult,,2.0,3.0,1.0,4.0,1.0,3.0,,,,Revlon,0.0,-0.0747,0.0,0.0
